time,open,high,low,close,volume,symbol
2010-01-04,1.47,1.49,1.47,1.49,603120,HPG
2010-01-05,1.56,1.56,1.49,1.56,1203080,HPG
2010-01-06,1.55,1.61,1.54,1.61,1771660,HPG
2010-01-07,1.64,1.68,1.61,1.66,1535800,HPG
2010-01-08,1.7,1.7,1.59,1.59,909010,HPG
2010-01-11,1.59,1.61,1.55,1.56,732580,HPG
2010-01-12,1.54,1.57,1.5,1.5,885660,HPG
2010-01-13,1.5,1.54,1.44,1.54,958420,HPG
2010-01-14,1.56,1.56,1.51,1.51,402680,HPG
2010-01-15,1.51,1.54,1.49,1.49,437400,HPG
2010-01-18,1.48,1.48,1.44,1.44,497510,HPG
2010-01-19,1.45,1.5,1.45,1.48,479060,HPG
2010-01-20,1.5,1.5,1.47,1.47,474300,HPG
2010-01-21,1.44,1.48,1.43,1.43,425450,HPG
2010-01-22,1.42,1.44,1.4,1.43,586550,HPG
2010-01-25,1.42,1.45,1.42,1.45,199710,HPG
2010-01-26,1.49,1.51,1.49,1.51,536240,HPG
2010-01-27,1.51,1.53,1.47,1.47,271340,HPG
2010-01-28,1.45,1.48,1.44,1.44,245300,HPG
2010-01-29,1.48,1.49,1.44,1.47,393890,HPG
2010-02-01,1.49,1.53,1.49,1.53,484240,HPG
2010-02-02,1.57,1.57,1.53,1.56,1018050,HPG
2010-02-03,1.57,1.57,1.55,1.57,864930,HPG
2010-02-04,1.56,1.6,1.55,1.57,912150,HPG
2010-02-05,1.54,1.56,1.53,1.54,537270,HPG
2010-02-08,1.53,1.55,1.53,1.54,472190,HPG
2010-02-09,1.53,1.54,1.51,1.54,328950,HPG
2010-02-10,1.54,1.56,1.53,1.56,278940,HPG
2010-02-11,1.56,1.57,1.55,1.56,203140,HPG
2010-02-12,1.56,1.57,1.56,1.57,253950,HPG
2010-02-22,1.57,1.57,1.55,1.56,184990,HPG
2010-02-23,1.53,1.54,1.5,1.51,356540,HPG
2010-02-24,1.51,1.51,1.48,1.51,371930,HPG
2010-02-25,1.51,1.54,1.5,1.5,407930,HPG
2010-02-26,1.5,1.51,1.48,1.48,451710,HPG
2010-03-01,1.49,1.51,1.49,1.5,284110,HPG
2010-03-02,1.5,1.56,1.5,1.54,549860,HPG
2010-03-03,1.56,1.56,1.54,1.56,499740,HPG
2010-03-04,1.59,1.6,1.56,1.56,694000,HPG
2010-03-05,1.57,1.59,1.56,1.57,480790,HPG
2010-03-08,1.6,1.61,1.57,1.61,450120,HPG
2010-03-09,1.61,1.62,1.59,1.61,843010,HPG
2010-03-10,1.61,1.64,1.6,1.64,556790,HPG
2010-03-11,1.68,1.71,1.67,1.68,1672180,HPG
2010-03-12,1.7,1.7,1.67,1.68,623150,HPG
2010-03-15,1.68,1.7,1.67,1.67,497550,HPG
2010-03-16,1.66,1.66,1.62,1.62,585500,HPG
2010-03-17,1.64,1.64,1.59,1.59,682260,HPG
2010-03-18,1.62,1.62,1.57,1.62,372020,HPG
2010-03-19,1.62,1.64,1.6,1.61,371440,HPG
2010-03-22,1.6,1.61,1.57,1.59,367360,HPG
2010-03-23,1.59,1.59,1.56,1.57,442100,HPG
2010-03-24,1.61,1.61,1.56,1.59,406220,HPG
2010-03-25,1.57,1.57,1.54,1.55,419770,HPG
2010-03-26,1.55,1.57,1.55,1.56,248330,HPG
2010-03-29,1.57,1.59,1.55,1.56,188700,HPG
2010-03-30,1.56,1.57,1.55,1.55,305370,HPG
2010-03-31,1.55,1.55,1.53,1.53,580860,HPG
2010-04-01,1.55,1.56,1.53,1.56,474730,HPG
2010-04-02,1.57,1.59,1.55,1.59,442760,HPG
2010-04-05,1.61,1.64,1.6,1.64,642470,HPG
2010-04-06,1.66,1.67,1.64,1.64,896310,HPG
2010-04-07,1.65,1.66,1.62,1.65,484850,HPG
2010-04-08,1.65,1.66,1.64,1.65,420120,HPG
2010-04-09,1.65,1.67,1.64,1.65,501430,HPG
2010-04-12,1.66,1.66,1.64,1.65,395000,HPG
2010-04-13,1.64,1.65,1.64,1.64,606100,HPG
2010-04-14,1.65,1.65,1.62,1.64,410790,HPG
2010-04-15,1.65,1.66,1.64,1.66,572700,HPG
2010-04-16,1.66,1.66,1.65,1.65,296860,HPG
2010-04-19,1.66,1.67,1.65,1.65,327330,HPG
2010-04-20,1.66,1.66,1.64,1.65,267520,HPG
2010-04-21,1.66,1.66,1.64,1.65,579670,HPG
2010-04-22,1.65,1.68,1.64,1.67,746300,HPG
2010-04-26,1.68,1.7,1.67,1.68,923660,HPG
2010-04-27,1.77,1.77,1.76,1.77,2002680,HPG
2010-04-28,1.77,1.79,1.77,1.77,1065180,HPG
2010-04-29,1.77,1.77,1.75,1.75,488110,HPG
2010-05-04,1.75,1.76,1.74,1.74,361080,HPG
2010-05-05,1.72,1.73,1.7,1.7,624960,HPG
2010-05-06,1.69,1.71,1.69,1.7,499330,HPG
2010-05-07,1.68,1.68,1.65,1.66,565930,HPG
2010-05-10,1.66,1.66,1.64,1.64,656620,HPG
2010-05-11,1.65,1.67,1.64,1.64,307330,HPG
2010-05-12,1.61,1.62,1.6,1.61,361210,HPG
2010-05-13,1.61,1.63,1.6,1.61,228970,HPG
2010-05-14,1.63,1.64,1.61,1.61,166660,HPG
2010-05-17,1.61,1.61,1.56,1.56,252040,HPG
2010-05-18,1.54,1.56,1.54,1.54,223530,HPG
2010-05-19,1.51,1.52,1.49,1.49,458670,HPG
2010-05-20,1.48,1.56,1.48,1.56,256780,HPG
2010-05-21,1.48,1.54,1.48,1.48,377000,HPG
2010-05-24,1.52,1.52,1.48,1.48,338810,HPG
2010-05-25,1.47,1.49,1.45,1.45,490640,HPG
2010-05-26,1.48,1.49,1.46,1.49,205260,HPG
2010-05-27,1.49,1.5,1.48,1.49,300120,HPG
2010-05-28,1.56,1.56,1.47,1.54,288170,HPG
2010-05-31,1.54,1.55,1.53,1.53,270000,HPG
2010-06-01,1.51,1.55,1.51,1.54,145940,HPG
2010-06-02,1.54,1.54,1.53,1.54,278700,HPG
2010-06-03,1.57,1.57,1.54,1.54,331490,HPG
2010-06-04,1.52,1.55,1.52,1.54,165550,HPG
2010-06-07,1.48,1.53,1.48,1.53,341410,HPG
2010-06-08,1.52,1.52,1.5,1.51,267800,HPG
2010-06-09,1.51,1.53,1.51,1.51,285370,HPG
2010-06-10,1.48,1.52,1.48,1.52,122590,HPG
2010-06-11,1.54,1.54,1.52,1.52,88710,HPG
2010-06-14,1.52,1.53,1.52,1.52,161540,HPG
2010-06-15,1.53,1.53,1.52,1.53,279590,HPG
2010-06-16,1.53,1.53,1.52,1.52,233890,HPG
2010-06-17,1.52,1.52,1.51,1.52,249480,HPG
2010-06-18,1.52,1.52,1.5,1.52,546880,HPG
2010-06-21,1.52,1.52,1.51,1.51,253020,HPG
2010-06-22,1.51,1.52,1.51,1.52,262430,HPG
2010-06-23,1.52,1.52,1.51,1.52,91440,HPG
2010-06-24,1.52,1.52,1.51,1.52,242340,HPG
2010-06-25,1.52,1.52,1.51,1.51,247430,HPG
2010-06-28,1.5,1.51,1.5,1.5,186510,HPG
2010-06-29,1.52,1.52,1.51,1.51,285000,HPG
2010-06-30,1.49,1.52,1.49,1.52,196340,HPG
2010-07-01,1.52,1.52,1.49,1.49,71850,HPG
2010-07-02,1.5,1.5,1.48,1.48,378360,HPG
2010-07-05,1.48,1.5,1.48,1.5,274180,HPG
2010-07-06,1.5,1.5,1.46,1.46,213890,HPG
2010-07-07,1.46,1.47,1.44,1.44,120370,HPG
2010-07-08,1.45,1.45,1.42,1.42,161800,HPG
2010-07-09,1.43,1.43,1.41,1.42,264450,HPG
2010-07-12,1.42,1.42,1.41,1.42,271470,HPG
2010-07-13,1.43,1.48,1.42,1.46,358710,HPG
2010-07-14,1.46,1.46,1.44,1.44,273770,HPG
2010-07-15,1.43,1.45,1.43,1.43,177430,HPG
2010-07-16,1.44,1.44,1.43,1.43,176920,HPG
2010-07-19,1.41,1.43,1.41,1.43,229210,HPG
2010-07-20,1.43,1.43,1.42,1.42,166700,HPG
2010-07-21,1.4,1.41,1.4,1.41,193420,HPG
2010-07-22,1.41,1.41,1.4,1.4,114970,HPG
2010-07-23,1.4,1.4,1.39,1.39,260170,HPG
2010-07-26,1.37,1.39,1.37,1.39,166160,HPG
2010-07-27,1.39,1.39,1.37,1.37,476650,HPG
2010-07-28,1.37,1.37,1.34,1.34,318900,HPG
2010-07-29,1.3,1.34,1.3,1.3,472220,HPG
2010-07-30,1.33,1.33,1.3,1.31,438740,HPG
2010-08-02,1.31,1.31,1.3,1.31,266850,HPG
2010-08-03,1.32,1.36,1.32,1.33,504480,HPG
2010-08-04,1.33,1.35,1.33,1.35,432320,HPG
2010-08-05,1.34,1.36,1.33,1.33,145120,HPG
2010-08-06,1.33,1.36,1.31,1.36,317880,HPG
2010-08-09,1.35,1.35,1.31,1.33,386720,HPG
2010-08-10,1.31,1.31,1.26,1.29,509940,HPG
2010-08-11,1.31,1.31,1.27,1.27,487330,HPG
2010-08-12,1.26,1.26,1.22,1.22,617570,HPG
2010-08-13,1.22,1.25,1.18,1.25,544240,HPG
2010-08-16,1.25,1.31,1.25,1.31,382810,HPG
2010-08-17,1.31,1.31,1.28,1.29,241000,HPG
2010-08-18,1.29,1.29,1.28,1.28,378740,HPG
2010-08-19,1.27,1.29,1.26,1.28,189520,HPG
2010-08-20,1.28,1.32,1.26,1.32,179980,HPG
2010-08-23,1.32,1.32,1.3,1.32,311410,HPG
2010-08-24,1.3,1.31,1.28,1.29,441830,HPG
2010-08-25,1.27,1.28,1.25,1.25,340680,HPG
2010-08-26,1.28,1.28,1.25,1.28,396840,HPG
2010-08-27,1.25,1.32,1.25,1.28,378340,HPG
2010-08-30,1.33,1.34,1.32,1.34,508820,HPG
2010-08-31,1.38,1.41,1.36,1.41,832260,HPG
2010-09-01,1.43,1.47,1.41,1.46,676620,HPG
2010-09-06,1.47,1.53,1.46,1.47,503290,HPG
2010-09-07,1.44,1.46,1.41,1.41,386300,HPG
2010-09-08,1.38,1.42,1.38,1.42,262380,HPG
2010-09-09,1.46,1.46,1.41,1.43,286720,HPG
2010-09-10,1.43,1.43,1.38,1.38,232810,HPG
2010-09-13,1.34,1.4,1.34,1.38,147400,HPG
2010-09-14,1.38,1.41,1.38,1.38,300230,HPG
2010-09-15,1.38,1.39,1.37,1.39,221800,HPG
2010-09-16,1.37,1.4,1.37,1.4,166060,HPG
2010-09-17,1.39,1.46,1.38,1.46,563560,HPG
2010-09-20,1.48,1.48,1.45,1.46,266770,HPG
2010-09-21,1.43,1.45,1.4,1.4,384400,HPG
2010-09-22,1.4,1.42,1.4,1.41,239780,HPG
2010-09-23,1.4,1.42,1.4,1.41,480450,HPG
2010-09-24,1.43,1.43,1.41,1.41,297550,HPG
2010-09-27,1.42,1.42,1.41,1.41,147930,HPG
2010-09-28,1.41,1.42,1.41,1.41,387940,HPG
2010-09-29,1.42,1.42,1.41,1.41,328700,HPG
2010-09-30,1.41,1.41,1.41,1.41,271740,HPG
2010-10-01,1.39,1.42,1.39,1.41,76010,HPG
2010-10-04,1.42,1.42,1.39,1.42,409420,HPG
2010-10-05,1.42,1.45,1.37,1.45,523530,HPG
2010-10-06,1.45,1.46,1.45,1.46,523900,HPG
2010-10-07,1.43,1.46,1.43,1.45,287370,HPG
2010-10-08,1.45,1.46,1.45,1.45,240870,HPG
2010-10-11,1.43,1.46,1.43,1.46,210340,HPG
2010-10-12,1.43,1.44,1.42,1.43,292300,HPG
2010-10-13,1.43,1.43,1.42,1.43,346590,HPG
2010-10-14,1.45,1.46,1.42,1.42,446740,HPG
2010-10-15,1.4,1.43,1.4,1.43,558900,HPG
2010-10-18,1.43,1.44,1.42,1.43,353990,HPG
2010-10-19,1.44,1.44,1.41,1.42,323010,HPG
2010-10-20,1.4,1.41,1.4,1.4,332130,HPG
2010-10-21,1.41,1.42,1.4,1.41,202500,HPG
2010-10-22,1.43,1.43,1.4,1.43,206510,HPG
2010-10-25,1.44,1.44,1.42,1.44,153500,HPG
2010-10-26,1.43,1.46,1.43,1.44,161840,HPG
2010-10-27,1.42,1.45,1.42,1.43,218730,HPG
2010-10-28,1.43,1.44,1.42,1.43,142410,HPG
2010-10-29,1.44,1.44,1.43,1.44,183050,HPG
2010-11-01,1.44,1.44,1.41,1.44,118870,HPG
2010-11-02,1.42,1.44,1.42,1.44,90530,HPG
2010-11-03,1.44,1.45,1.42,1.44,176280,HPG
2010-11-04,1.45,1.45,1.43,1.44,62510,HPG
2010-11-05,1.46,1.46,1.43,1.46,379310,HPG
2010-11-08,1.46,1.46,1.45,1.45,172650,HPG
2010-11-09,1.43,1.43,1.41,1.42,150690,HPG
2010-11-10,1.42,1.43,1.41,1.42,201000,HPG
2010-11-11,1.42,1.42,1.39,1.39,196980,HPG
2010-11-12,1.39,1.39,1.34,1.39,241100,HPG
2010-11-15,1.36,1.39,1.36,1.38,200200,HPG
2010-11-16,1.4,1.4,1.36,1.37,150000,HPG
2010-11-17,1.37,1.37,1.34,1.34,211010,HPG
2010-11-18,1.3,1.37,1.3,1.36,240230,HPG
2010-11-19,1.39,1.39,1.34,1.36,237120,HPG
2010-11-22,1.39,1.39,1.35,1.37,257890,HPG
2010-11-23,1.38,1.4,1.37,1.4,340780,HPG
2010-11-24,1.4,1.41,1.37,1.41,197070,HPG
2010-11-25,1.42,1.42,1.41,1.41,192180,HPG
2010-11-26,1.42,1.42,1.4,1.41,124780,HPG
2010-11-29,1.38,1.46,1.38,1.46,351870,HPG
2010-11-30,1.46,1.48,1.46,1.46,456870,HPG
2010-12-01,1.48,1.48,1.48,1.48,266280,HPG
2010-12-02,1.45,1.49,1.45,1.49,355830,HPG
2010-12-03,1.49,1.5,1.48,1.48,292290,HPG
2010-12-06,1.49,1.49,1.47,1.47,293700,HPG
2010-12-07,1.45,1.45,1.42,1.42,379450,HPG
2010-12-08,1.42,1.45,1.37,1.37,190040,HPG
2010-12-09,1.41,1.43,1.37,1.42,220890,HPG
2010-12-10,1.43,1.47,1.42,1.47,329900,HPG
2010-12-13,1.52,1.53,1.51,1.53,672690,HPG
2010-12-14,1.5,1.52,1.47,1.52,374680,HPG
2010-12-15,1.52,1.52,1.49,1.51,302480,HPG
2010-12-16,1.47,1.5,1.47,1.5,380760,HPG
2010-12-17,1.5,1.51,1.49,1.51,449720,HPG
2010-12-20,1.49,1.51,1.49,1.5,217620,HPG
2010-12-21,1.47,1.51,1.47,1.51,402870,HPG
2010-12-22,1.52,1.52,1.5,1.51,397780,HPG
2010-12-23,1.47,1.5,1.47,1.5,344240,HPG
2010-12-24,1.48,1.5,1.47,1.5,304000,HPG
2010-12-27,1.5,1.5,1.47,1.5,163170,HPG
2010-12-28,1.48,1.5,1.48,1.5,195150,HPG
2010-12-29,1.5,1.5,1.48,1.49,193870,HPG
2010-12-30,1.48,1.49,1.48,1.49,317530,HPG
2010-12-31,1.48,1.49,1.47,1.49,231060,HPG
2011-01-04,1.49,1.5,1.48,1.48,134810,HPG
2011-01-05,1.48,1.48,1.45,1.45,168800,HPG
2011-01-06,1.45,1.45,1.42,1.43,164830,HPG
2011-01-07,1.46,1.46,1.43,1.45,112350,HPG
2011-01-10,1.45,1.45,1.43,1.45,154810,HPG
2011-01-11,1.43,1.44,1.42,1.43,153580,HPG
2011-01-12,1.44,1.44,1.42,1.42,117170,HPG
2011-01-13,1.43,1.43,1.42,1.43,264560,HPG
2011-01-14,1.43,1.43,1.42,1.43,290420,HPG
2011-01-17,1.45,1.47,1.43,1.44,257360,HPG
2011-01-18,1.45,1.45,1.44,1.44,280070,HPG
2011-01-19,1.45,1.5,1.45,1.48,457860,HPG
2011-01-20,1.45,1.5,1.45,1.48,361670,HPG
2011-01-21,1.48,1.48,1.47,1.48,302420,HPG
2011-01-24,1.48,1.48,1.45,1.47,111030,HPG
2011-01-25,1.44,1.45,1.44,1.45,218100,HPG
2011-01-26,1.44,1.45,1.44,1.45,188520,HPG
2011-01-27,1.46,1.49,1.46,1.49,428250,HPG
2011-01-28,1.48,1.49,1.48,1.49,370830,HPG
2011-02-08,1.5,1.53,1.47,1.51,431720,HPG
2011-02-09,1.53,1.53,1.5,1.5,391520,HPG
2011-02-10,1.52,1.52,1.5,1.5,230160,HPG
2011-02-11,1.5,1.5,1.48,1.49,70830,HPG
2011-02-14,1.49,1.49,1.47,1.47,245090,HPG
2011-02-15,1.44,1.46,1.42,1.44,354670,HPG
2011-02-16,1.45,1.45,1.42,1.42,149890,HPG
2011-02-17,1.39,1.41,1.39,1.41,426790,HPG
2011-02-18,1.41,1.42,1.4,1.4,254020,HPG
2011-02-21,1.38,1.38,1.33,1.33,265400,HPG
2011-02-22,1.26,1.29,1.26,1.28,605710,HPG
2011-02-23,1.28,1.31,1.27,1.27,186830,HPG
2011-02-24,1.26,1.26,1.21,1.23,346440,HPG
2011-02-25,1.23,1.28,1.23,1.28,60440,HPG
2011-02-28,1.28,1.28,1.23,1.23,296390,HPG
2011-03-01,1.2,1.23,1.2,1.2,315470,HPG
2011-03-02,1.2,1.21,1.15,1.15,694100,HPG
2011-03-03,1.11,1.16,1.11,1.15,157570,HPG
2011-03-04,1.16,1.16,1.14,1.15,356990,HPG
2011-03-07,1.19,1.19,1.13,1.15,550710,HPG
2011-03-08,1.15,1.16,1.14,1.15,555030,HPG
2011-03-09,1.16,1.2,1.14,1.2,355690,HPG
2011-03-10,1.26,1.26,1.26,1.26,263820,HPG
2011-03-11,1.32,1.32,1.31,1.32,294330,HPG
2011-03-14,1.3,1.32,1.25,1.25,404350,HPG
2011-03-15,1.23,1.31,1.22,1.29,126150,HPG
2011-03-16,1.31,1.31,1.26,1.26,329870,HPG
2011-03-17,1.32,1.32,1.26,1.29,226710,HPG
2011-03-18,1.27,1.35,1.27,1.35,524980,HPG
2011-03-21,1.36,1.36,1.33,1.33,301800,HPG
2011-03-22,1.33,1.37,1.33,1.35,566080,HPG
2011-03-23,1.36,1.38,1.36,1.37,699690,HPG
2011-03-24,1.39,1.4,1.38,1.38,614070,HPG
2011-03-25,1.39,1.4,1.38,1.39,594480,HPG
